feature,importances
MonthlyNominalGDPIndexinMillion,11.097571197539548
MonthlyRealGDPIndexinMillion,10.911746380442208
CPI,10.517141726349605
Earningsorwagesindollarsperhour,9.001126783029829
unemploymentrate,6.195235261759525
FinanceRateonPersonalLoansatCommercialBanks24MonthLoan,6.492908174769295
CommercialBankInterestRateonCreditCardPlans,10.17957514558472
Event,0.04516783602557462
SeaLevelPressavg,0.6369170165851419
Exports,0.09663615832299934
Windavg,0.21649583625271318
Changein,0.5859364739081834
yieldperharvestedacre,0.05936944134529927
Millusein480lbnetwerightinmillionbales,0.5368592630691591
Averageuplandharvestedmillionacres,1.8776922724758522
Humidityavg,0.03835278003235759
Averageuplandplantedmillionacres,0.01898403034060954
FederalHoliday,0.1551667869640696
Productionin480lbnetwerightinmillionbales,2.1612190402994886
Visibilityavg,0.051541515949588106
CottonMonthlyPriceUScentsperPoundlbs,1.008885694910698
Tempavg,0.00769571701526537
DewPointavg,4.145480496210543
Precipsum,0.08486180518840038
